outlet_name,draw_date,draw_number,prize_amount,bet_type,prize_group,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb
Delisia Agency Pte Ltd,10/03/2025,4059,1337645.0,QP system 7,1,188425,Authorised Retailer,ROCHOR,CENTRAL REGION,commercial,13120,1,0,1.30151258571919,103.854497235401,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,11.0,36,160,196,1709,4167,2474,69.0,922805.0,562.8437682986643,0,1392475.4827708954,0.005400789706736266,99.6121653510437,0.07922392886014551,0.010626762090652787,9.657529280636668,170706.0,24.18471110026028,34.937462152575044
Delisia Agency Pte Ltd,07/02/2025,4050,73857.0,QP system 12 iTOTO,2,188425,Authorised Retailer,ROCHOR,CENTRAL REGION,commercial,13120,1,0,1.30151258571919,103.854497235401,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,11.0,36,160,196,1709,4167,2474,69.0,922805.0,562.8437682986643,0,1392475.4827708954,0.005400789706736266,99.6121653510437,0.07922392886014551,0.010626762090652787,9.657529280636668,170706.0,24.18471110026028,34.937462152575044
Delisia Agency Pte Ltd,12/12/2024,4034,76564.0,QP system 12 iTOTO,2,188425,Authorised Retailer,ROCHOR,CENTRAL REGION,commercial,13120,1,0,1.30151258571919,103.854497235401,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,11.0,36,160,196,1709,4167,2474,69.0,922805.0,562.8437682986643,0,1392475.4827708954,0.005400789706736266,99.6121653510437,0.07922392886014551,0.010626762090652787,9.657529280636668,170706.0,24.18471110026028,34.937462152575044
Delisia Agency Pte Ltd,21/10/2024,4019,72422.0,QP system 12 iTOTO,2,188425,Authorised Retailer,ROCHOR,CENTRAL REGION,commercial,13120,1,0,1.30151258571919,103.854497235401,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,11.0,36,160,196,1709,4167,2474,69.0,922805.0,562.8437682986643,0,1392475.4827708954,0.005400789706736266,99.6121653510437,0.07922392886014551,0.010626762090652787,9.657529280636668,170706.0,24.18471110026028,34.937462152575044
Delisia Agency Pte Ltd,17/10/2024,4018,144271.0,QP system 12 iTOTO,2,188425,Authorised Retailer,ROCHOR,CENTRAL REGION,commercial,13120,1,0,1.30151258571919,103.854497235401,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,11.0,36,160,196,1709,4167,2474,69.0,922805.0,562.8437682986643,0,1392475.4827708954,0.005400789706736266,99.6121653510437,0.07922392886014551,0.010626762090652787,9.657529280636668,170706.0,24.18471110026028,34.937462152575044
Delisia Agency Pte Ltd,30/09/2024,4013,155019.0,QP system 12 iTOTO,2,188425,Authorised Retailer,ROCHOR,CENTRAL REGION,commercial,13120,1,0,1.30151258571919,103.854497235401,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,11.0,36,160,196,1709,4167,2474,69.0,922805.0,562.8437682986643,0,1392475.4827708954,0.005400789706736266,99.6121653510437,0.07922392886014551,0.010626762090652787,9.657529280636668,170706.0,24.18471110026028,34.937462152575044
Delisia Agency Pte Ltd,09/09/2024,4007,43586.0,QP system 12 iTOTO,2,188425,Authorised Retailer,ROCHOR,CENTRAL REGION,commercial,13120,1,0,1.30151258571919,103.854497235401,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,11.0,36,160,196,1709,4167,2474,69.0,922805.0,562.8437682986643,0,1392475.4827708954,0.005400789706736266,99.6121653510437,0.07922392886014551,0.010626762090652787,9.657529280636668,170706.0,24.18471110026028,34.937462152575044
Delisia Agency Pte Ltd,02/08/2024,3996,1501809.0,QP system 12 iTOTO,1,188425,Authorised Retailer,ROCHOR,CENTRAL REGION,commercial,13120,1,0,1.30151258571919,103.854497235401,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,11.0,36,160,196,1709,4167,2474,69.0,922805.0,562.8437682986643,0,1392475.4827708954,0.005400789706736266,99.6121653510437,0.07922392886014551,0.010626762090652787,9.657529280636668,170706.0,24.18471110026028,34.937462152575044
Delisia Agency Pte Ltd,23/05/2024,3976,84848.0,system 7,2,188425,Authorised Retailer,ROCHOR,CENTRAL REGION,commercial,13120,1,0,1.30151258571919,103.854497235401,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,11.0,36,160,196,1709,4167,2474,69.0,922805.0,562.8437682986643,0,1392475.4827708954,0.005400789706736266,99.6121653510437,0.07922392886014551,0.010626762090652787,9.657529280636668,170706.0,24.18471110026028,34.937462152575044
Delisia Agency Pte Ltd,20/05/2024,3975,2939453.0,QP system 12 iTOTO,1,188425,Authorised Retailer,ROCHOR,CENTRAL REGION,commercial,13120,1,0,1.30151258571919,103.854497235401,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,11.0,36,160,196,1709,4167,2474,69.0,922805.0,562.8437682986643,0,1392475.4827708954,0.005400789706736266,99.6121653510437,0.07922392886014551,0.010626762090652787,9.657529280636668,170706.0,24.18471110026028,34.937462152575044
